name,calories,protein,total_fat,saturated_fat,carbohydrate,fiber,sugars,sodium,price
"Chicken breast tenders, uncooked, breaded",263,14.73,16.0,3.3,15.01,1.1,0.37,0.536,1900
"Turkey breast, prepackaged, sliced",100,16.33,2.4,0.3,2.34,0.0,3.28,0.922,6500
"Fish, raw, wild, Atlantic, salmon",142,19.84,6.3,1.0,0.0,0.0,0.0,0.044,9700
"Fish, raw, yellowfin, fresh, tuna",109,24.4,0.5,0.2,0.0,0.0,0.0,0.045,4000
"Eggs",155,13.1,11,3.3,1.1,0.0,1.1,0.124,764
"Yogurt, nonfat, vanilla, Greek",78,8.64,0.2,0.1,10.37,0.5,9.54,0.034,3300
"Cheese, 2% milkfat, lowfat, cottage",81,10.45,2.3,1.2,4.76,0.0,4.0,0.308,4400
"Tofu, prepared with calcium sulfate, fried",270,18.82,20.0,2.9,8.86,3.9,0.0,0.016,5000
"Beef, raw, 95% lean meat / 5% fat, ground",137,21.41,5.0,2.2,0.0,0.0,0.0,0.066,2300
"Pork, raw or unheated, breakfast strips, cured",388,11.74,37.0,13.0,0.7,0.0,0.0,0.987,1500
"Crustaceans, cooked (not previously frozen), shrimp",99,23.98,0.3,0.1,0.2,0.0,0.0,0.0,7500
"Fish, drained solids with bone, canned in oil, Atlantic, sardine",208,24.62,11.0,1.5,0.0,0.0,0.0,0.307,5600
"Fish, raw, tilapia",96,20.08,1.7,0.6,0.0,0.0,0.0,0.052,4500
"Beans, home prepared, baked",155,5.54,5.2,1.9,21.63,5.5,0.0,0.422,2700
"Chickpeas (garbanzo beans, bengal gram), raw, mature seeds",378,20.47,6.0,0.6,62.95,12.2,10.7,0.024,700
"Lentils, raw, sprouted",106,8.96,0.6,0.1,22.14,0.0,0.0,0.011,600
"Edamame, unprepared, frozen",109,11.22,4.7,,7.61,4.8,2.48,0.006,6100
"Rice, unenriched, raw, short-grain, white",358,6.5,0.5,0.1,79.15,0.0,0.0,0.001,300
"Quinoa, uncooked",368,14.12,6.1,0.7,64.16,7.0,0.0,0.005,4600
Oats,389,16.89,6.9,1.2,66.27,10.6,0.0,0.002,600
"Bread, oat bran",236,10.4,4.4,0.7,39.8,4.5,7.7,0.353,900
"Pasta, dry, remaining unenriched semolina, 51% whole wheat, whole grain",362,13.51,2.7,0.4,73.1,10.1,2.6,0.011,600
"Corn, raw, white, sweet",86,3.22,1.2,0.2,19.02,2.7,3.22,0.015,2000
"Plantains, fried, green",309,1.5,12.0,3.7,49.17,3.5,3.63,0.002,300
"Spinach, unprepared, chopped or leaf, frozen",29,3.63,0.6,,4.21,2.9,0.65,0.074,700
"Kale, without salt, drained, boiled, cooked",28,1.9,0.4,0.1,5.63,2.0,1.25,0.023,800
"Broccoli, without salt, drained, boiled, cooked",35,2.38,0.4,0.1,7.18,3.3,1.39,0.041,2000
"Cauliflower, with salt, drained, boiled, cooked",23,1.84,0.5,0.1,4.11,2.3,1.86,0.242,1400
"Carrots, without salt, drained, boiled, cooked",35,0.76,0.2,,8.22,3.0,3.45,0.058,300
"Peppers, unprepared, chopped, frozen, red, sweet",20,1.08,0.2,,4.45,1.6,3.26,0.005,2300
"Mushrooms, grilled, portabella",29,3.28,0.6,0.1,4.44,2.2,2.26,0.011,3800
"Squash, unprepared, frozen, includes skin, zucchini, summer",17,1.16,0.1,,3.58,1.3,1.71,0.002,3000
"Tomatoes, raw, green",23,1.2,0.2,,5.1,1.1,4.0,0.013,400
"Onions, raw, sweet",32,0.8,0.1,,7.55,0.9,5.02,0.008,500
